DATE,PLATFORM,CAMPAIGN_NAME,CAMPAIGN_GROUP,CAMPAIGN_ID,ADSET_NAME,ADSET_ID,AD_NAME,AD_ID,OBJECTIVE,AMOUNT_SPENT,IMPRESSIONS,CONVERSIONS,REACH,CLICKS,VIDEO_PLAYS_AT_100,VIDEO_PLAYS_AT_25,VIDEO_PLAYS_AT_50,VIDEO_PLAYS_AT_75,FOCUSSED_VIEW_15SEC,VIDEO_VIEWS,VIDEO_THRUPLAY,VIDEO_PLAY_ACTIONS,COMMENTS,LEADS,LIKES,LINK_CLICKS,ENGAGEMENT,ENGAGEMENT_RATE,SHARES,FOLLOWS,VIEW_THROUGH_CONVERSION,VIDEO_STARTS,PURCHASE
2026-05-31,Retail Media Network,Seasonal Select Demand Initiative,Metro Region Loyalty Cohort,11970007606,Health Conscious Buyers Interest Segment,141258509277,Offer Spotlight Bold Voice,135939338663,Brand Awareness,41.901210,6030,4,0,10,1.6484,2.4399,1.5705,1.5973,0,4278,0,0,0,0,0,0,4187,1.9142,0,0,0,0,0
2026-05-31,Marketplace Feed,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,77398847093,Family Planners Lookalike Segment,113147269491,Offer Spotlight Warm Voice,121759510249,Brand Awareness,240.09017,37661,5,0,68,1.4931,3.2748,1.6777,1.5671,0,15173,0,0,0,0,0,0,17511,3.978,0,0,0,0,0
2026-05-31,Display Network,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,77398847093,Bulk Buyers Retention Segment,307152132159,Offer Spotlight Warm Voice,517946828686,Brand Awareness,272.214455,55700,2,0,159,1.795,3.902,2.3256,1.9818,0,20589,0,0,0,0,0,0,29326,3.8628,0,0,0,0,0
2026-05-31,Affiliate Network,Seasonal Select Demand Initiative,Metro Region Loyalty Cohort,11970007606,Bulk Buyers Retention Segment,148145023481,Offer Spotlight Bold Voice,846119584281,Brand Awareness,47.204451,10067,13,0,23,1.0140,3.8326,2.1658,1.2478,0,3166,0,0,0,0,0,0,3796,1.9551,0,0,0,0,0
2026-05-31,Affiliate Network,Seasonal Select Demand Initiative,Metro Region Loyalty Cohort,11970007606,Family Planners Lookalike Segment,840964668242,Offer Spotlight Bold Voice,143148175809,Brand Awareness,53.933996,14286,17,0,45,1.0376,3.8489,2.1753,1.49,0,4079,0,0,0,0,0,0,6962,2.3938,0,0,0,0,0
2026-05-31,Influencer Network,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,77398847093,Health Conscious Buyers Interest Segment,141572802958,Offer Spotlight Warm Voice,658353299387,Brand Awareness,26.345112,5625,0,0,9,0.9709,2.0664,1.2740,1.18,0,1362,0,0,0,0,0,0,1791,1.10,0,0,0,0,0
2026-05-30,In-App Display,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,77398847093,Bulk Buyers Retention Segment,307152132159,Offer Spotlight Warm Voice,517946828686,Brand Awareness,230.457818,49162,3,0,97,1.7137,3.6610,2.3013,1.7988,0,18276,0,0,0,0,0,0,25292,4.3641,0,0,0,0,0
2026-05-30,Marketplace Feed,Seasonal Select Demand Initiative,Metro Region Loyalty Cohort,11970007606,Bulk Buyers Retention Segment,148145023481,Offer Spotlight Bold Voice,846119584281,Brand Awareness,33.489325,6910,16,0,21,1.9107,4.4596,3.284,2.0805,0,2032,0,0,0,0,0,0,2433,2.0479,0,0,0,0,0
2026-05-30,Influencer Network,Seasonal Select Demand Initiative,Metro Region Loyalty Cohort,11970007606,Health Conscious Buyers Interest Segment,141258509277,Offer Spotlight Bold Voice,135939338663,Brand Awareness,24.544844,5132,4,0,8,1.5685,3.0556,1.8613,1.483,0,3832,0,0,0,0,0,0,4019,1.8388,0,0,0,0,0
2026-05-30,Retail Media Network,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,77398847093,Health Conscious Buyers Interest Segment,141572802958,Offer Spotlight Warm Voice,658353299387,Brand Awareness,33.100539,6914,1,0,7,1.0783,2.4196,1.349,1.0724,0,1971,0,0,0,0,0,0,2752,1.3864,0,0,0,0,0
2026-05-30,Affiliate Network,Seasonal Select Demand Initiative,Metro Region Loyalty Cohort,11970007606,Family Planners Lookalike Segment,840964668242,Offer Spotlight Bold Voice,143148175809,Brand Awareness,88.523164,19642,18,0,51,2.8627,6.4865,4.4506,3.2945,0,5072,0,0,0,0,0,0,7099,3.4219,0,0,0,0,0
2026-05-30,Search Network,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,77398847093,Family Planners Lookalike Segment,113147269491,Offer Spotlight Warm Voice,121759510249,Brand Awareness,241.615208,61603,6,0,70,1.6383,3.304,2.4672,1.8821,0,19517,0,0,0,0,0,0,27306,3.4784,0,0,0,0,0
2026-05-29,Connected TV,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,77398847093,Bulk Buyers Retention Segment,307152132159,Offer Spotlight Warm Voice,517946828686,Brand Awareness,209.366500,50474,7,0,91,2.452,3.9506,3.068,2.4584,0,20686,0,0,0,0,0,0,21788,4.5185,0,0,0,0,0
2026-05-29,Display Network,Seasonal Select Demand Initiative,Metro Region Loyalty Cohort,11970007606,Bulk Buyers Retention Segment,148145023481,Offer Spotlight Bold Voice,846119584281,Brand Awareness,70.27412,14120,14,0,20,1.1564,3.9204,2.1984,1.5927,0,4849,0,0,0,0,0,0,5330,2.0314,0,0,0,0,0
2026-05-29,Connected TV,Seasonal Select Demand Initiative,Metro Region Loyalty Cohort,11970007606,Health Conscious Buyers Interest Segment,141258509277,Offer Spotlight Bold Voice,135939338663,Brand Awareness,6.74900,1318,1,0,3,1.418,2.9139,1.9203,1.3715,0,953,0,0,0,0,0,0,1055,1.7938,0,0,0,0,0
2026-05-29,Search Network,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,77398847093,Family Planners Lookalike Segment,113147269491,Offer Spotlight Warm Voice,121759510249,Brand Awareness,245.030545,50214,4,0,75,1.982,4.4628,2.6069,2.2048,0,20203,0,0,0,0,0,0,21283,4.4740,0,0,0,0,0
2026-05-29,Affiliate Network,Seasonal Select Demand Initiative,Metro Region Loyalty Cohort,11970007606,Family Planners Lookalike Segment,840964668242,Offer Spotlight Bold Voice,143148175809,Brand Awareness,62.752451,15700,15,0,31,2.3387,4.8549,3.2902,2.521,0,6480,0,0,0,0,0,0,7023,2.4058,0,0,0,0,0
2026-05-29,Discovery Network,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,77398847093,Health Conscious Buyers Interest Segment,141572802958,Offer Spotlight Warm Voice,658353299387,Brand Awareness,66.139946,18169,0,0,22,1.2157,2.5920,1.6407,1.1696,0,6388,0,0,0,0,0,0,8657,1.5364,0,0,0,0,0
2026-05-28,In-App Display,Family Pantry Retention Initiative,Metro Region Loyalty Cohort,77398847093,Family Planners Lookalike Segment,113147269491,Offer Spotlight Warm Voice,121759510249,Brand Awareness,281.471177,60086,3,0,129,2.0851,3.857,2.6459,1.8347,0,25115,0,0,0,0,0,0,32318,4.0955,0,0,0,0,0
