DATE,PLATFORM,CAMPAIGN_NAME,CAMPAIGN_GROUP,CAMPAIGN_ID,ADSET_NAME,ADSET_ID,AD_NAME,AD_ID,OBJECTIVE,AMOUNT_SPENT,IMPRESSIONS,CONVERSIONS,REACH,CLICKS,VIDEO_PLAYS_AT_100,VIDEO_PLAYS_AT_25,VIDEO_PLAYS_AT_50,VIDEO_PLAYS_AT_75,FOCUSSED_VIEW_15SEC,VIDEO_VIEWS,VIDEO_THRUPLAY,VIDEO_PLAY_ACTIONS,COMMENTS,LEADS,LIKES,LINK_CLICKS,ENGAGEMENT,ENGAGEMENT_RATE,SHARES,FOLLOWS,VIEW_THROUGH_CONVERSION,VIDEO_STARTS,PURCHASE
2026-03-31,Connected TV,Seasonal Select Promo Initiative,Metro Region Prospecting Cohort,17844861128,Bulk Buyers Retention Segment,624217350430,Shelf Story Warm Voice,105383197320,Brand Awareness,41.200756,19023,0,0,20,5.0250,6.477,4.2865,4.9370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-31,Video Network,Seasonal Select Promo Initiative,Metro Region Prospecting Cohort,17844861128,Weekend Deal Hunters Interest Segment,329457021243,Shelf Story Warm Voice,173737793326,Brand Awareness,7.693066,3264,0,0,9,3.6153,4.6474,3.6893,3.5643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-31,In-App Display,Seasonal Select Promo Initiative,Metro Region Prospecting Cohort,17844861128,Family Planners Interest Segment,637339745241,Shelf Story Warm Voice,129216764237,Brand Awareness,8.986154,4083,0,0,3,3.9766,4.8349,3.9225,3.8247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-31,In-App Display,Home Essentials Scale Initiative,Metro Region Prospecting Cohort,87239281064,Bulk Buyers Retention Segment,150236562499,Offer Spotlight Bold Voice,847904265267,Brand Awareness,669.510727,109136,0,0,210,0.9679,2.136,1.2260,0.9082,0,25060,0,0,0,0,0,0,39032,3.2425,0,0,0,0,0
2026-03-31,Affiliate Network,Home Essentials Scale Initiative,Metro Region Prospecting Cohort,87239281064,Family Planners Interest Segment,130267030363,Offer Spotlight Bold Voice,904175289761,Brand Awareness,1015.947093,234025,0,0,440,1.0061,2.3695,1.5066,1.2211,0,58051,0,0,0,0,0,0,85820,3.5109,0,0,0,0,0
2026-03-31,Display Network,Home Essentials Scale Initiative,Metro Region Prospecting Cohort,87239281064,Weekend Deal Hunters Interest Segment,259703068436,Offer Spotlight Bold Voice,853180183207,Brand Awareness,274.58987,55782,0,0,384,0.5864,1.4579,0.9602,0.7081,0,15780,0,0,0,0,0,0,17872,1.4502,0,0,0,0,0
2026-03-30,Retail Media Network,Seasonal Select Promo Initiative,Metro Region Prospecting Cohort,17844861128,Family Planners Interest Segment,637339745241,Shelf Story Warm Voice,129216764237,Brand Awareness,11.730469,5233,0,0,3,3.7683,4.8534,4.0866,3.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-30,Retail Media Network,Home Essentials Scale Initiative,Metro Region Prospecting Cohort,87239281064,Family Planners Interest Segment,130267030363,Offer Spotlight Bold Voice,904175289761,Brand Awareness,1380.058538,196097,0,0,574,0.8791,2.2453,1.1478,1.0708,0,50300,0,0,0,0,0,0,65192,3.6551,0,0,0,0,0
2026-03-30,In-App Display,Seasonal Select Promo Initiative,Metro Region Prospecting Cohort,17844861128,Weekend Deal Hunters Interest Segment,329457021243,Shelf Story Warm Voice,173737793326,Brand Awareness,7.543494,2922,0,0,14,3.1525,4.797,3.1921,3.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-30,Social Feed,Seasonal Select Promo Initiative,Metro Region Prospecting Cohort,17844861128,Bulk Buyers Retention Segment,624217350430,Shelf Story Warm Voice,105383197320,Brand Awareness,41.184750,18898,0,0,16,5.0513,6.7084,5.5634,4.8491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
